Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
212,"Repeal: ""Nuclear Power Safety Act""",Repeal,204,Bergnovinaia,Ossitania,6501,3615,2012-08-21
213,Privacy Protection Act,Human Rights,Significant,Christian Democrats,,7427,3173,2012-08-25
214,"Repeal: ""Intangible Cultural Heritage""",Repeal,207,Sciongrad,,8694,1121,2012-08-31
215,"Repeal: ""Organ And Blood Donations Act""",Repeal,175,Mousebumples,,8832,1241,2012-09-04
216,"Repeal: ""Stem Cells For Greater Health""",Repeal,49,Mousebumples,Oliver The Mediocre,8079,1466,2012-09-08
217,Biomedical Donor Rights,Human Rights,Significant,Mousebumples,,8856,816,2012-09-19
218,Biomedical Recipient Rights,Human Rights,Significant,Mousebumples,,8682,1020,2012-09-23
219,Biomedical Innovation Org,Education and Creativity,Educational,Mousebumples,,8850,1130,2012-09-27
220,"Repeal: ""Child Protection Act""",Repeal,19,Mousebumples,,8434,1425,2012-10-01
221,On Multilateral Trade Talks,Free Trade,Mild,Auralia,,5133,4146,2012-10-05
222,Prevention Of Child Abuse,Human Rights,Significant,Sanctaria,The Dourian Embassy,9348,1002,2012-10-09
223,Transboundary Water Use Act,Environmental,All Businesses,Anime Daisuki,,8421,1743,2012-10-26
224,Promotion Of Bee-Keeping,Free Trade,Mild,Bears Armed Mission,,8599,2463,2012-11-02
225,"Repeal: ""Assitance Givers Protection""",Repeal,106,The Dourian Embassy,,9744,1004,2012-11-06
226,WA Development Foundation,Free Trade,Mild,Auralia,,7156,4706,2012-11-23
227,Rights Of The Disabled Act,Human Rights,Significant,Imperium Londinium,,8899,3686,2012-11-27
228,Animal Protection Act,Moral Decency,Significant,Ilstoria,,6922,6083,2012-12-01
229,Access To Courts,Social Justice,Mild,Cowardly Pacifists,,9959,2696,2012-12-05
230,The Early Learning Act,Education and Creativity,Educational,Isalenoria,,10824,2758,2012-12-17
231,Marital Rape Justice Act,Moral Decency,Mild,Christian Democrats,,9741,2246,2012-12-25
232,Foreign Copyright Recognition,Free Trade,Mild,Auralia,,8810,2581,2012-12-29
233,Ban Profits On Workers' Deaths,Social Justice,Mild,Sionis Prioratus,Christian Democrats,9205,2260,2013-01-03
234,Freedom To Read And Learn,Human Rights,Significant,Sionis Prioratus,,10554,1830,2013-01-07
235,Child Firearm Safety Act,Gun Control,Tighten,Cowardly Pacifists,,8543,3924,2013-01-11
236,Renewable Energy Installations,Environmental,All Businesses,Abacathea,,7948,4890,2013-01-15
237,First Responder Protection Act,Human Rights,Mild,Bushsucks-Istan,Oppe Ruiver,8184,4093,2013-01-20
238,"Repeal: ""Marital Rape Justice Act""",Repeal,231,Ossitania,,9040,3485,2013-02-02
239,Vehicle Emissions Convention,Environmental,Automobile Manufacturing,Abacathea,,8453,5055,2013-02-14
240,Sexual Autonomy Guarantee,Human Rights,Significant,Ossitania,,11506,1342,2013-02-18
241,"Repeal: ""Consumer Product Safety""",Repeal,139,Sciongrad,,8405,4080,2013-02-27
242,Biological Warfare Convention,Global Disarmament,Significant,Sciongrad,,8606,4245,2013-03-03
243,Language Preservation,Education and Creativity,Cultural Heritage,Ile Royale,,10898,3080,2013-03-11
244,Physical Sites Protection Act,Environmental,All Businesses,Ceni,,7590,5846,2013-03-15
245,"Repeal: ""First Responder Protection Act""",Repeal,237,Suevo-Prussia,,10960,1573,2013-03-23
246,"Repeal: ""Vehicle Emissions Convention""",Repeal,239,Auralia,,10051,2398,2013-03-27
247,Rights Of Crime Victims,Human Rights,Significant,Cowardly Pacifists,,10327,2976,2013-04-07
248,Against Corruption,Political Stability,Significant,Topid,,9319,4745,2013-04-17
249,Stopping Suicide Seeds,Environmental,All Businesses,Christian Democrats,,9956,4312,2013-05-16
250,"Repeal: ""Reduction Of Abortion Act""",Repeal,44,Studly Penguins,,9183,3977,2013-05-28
251,"Repeal: ""Physical Sites Protection Act""",Repeal,244,The Dourian Embassy,Gatchina,9593,3160,2013-06-01
252,"Repeal: ""International Competition Law""",Repeal,70,The Dourian Embassy,Glen-Rhodes,10951,1634,2013-06-11
253,"Repeal: ""Freedom In Medical Research""",Repeal,171,Christian Democrats,,8777,2728,2013-06-28
254,Invasive Species Response Act,Environmental,All Businesses,Icamera,Ceni,7321,3817,2013-07-07
255,Rights Of Neutral States,Global Disarmament,Mild,Sciongrad,,5833,5508,2013-07-16
256,Foreign Trademark Recognition,Free Trade,Mild,Auralia,,8347,1774,2013-07-20
257,Reducing Automobile Emissions,Environmental,Automobile Manufacturing,Abacathea,,8365,2390,2013-07-29
258,"Repeal: ""Invasive Species Response Act""",Repeal,254,Bergnovinaia,Discoveria,8908,1814,2013-08-06
259,Stopping Invasive Species,Environmental,All Businesses,Ceni,Icamera,7615,3517,2013-08-12
260,"Repeal: ""Access To Science In Schools""",Repeal,48,Auralia,,6046,4816,2013-08-17
261,Rainforest Protection Act,Environmental,Woodchipping,The Scientific States,Grobladonia,8966,3001,2013-08-21
262,"Repeal: ""Rainforest Protection Act""",Repeal,261,Auralia,,6429,5183,2013-09-10
263,Uranium Mining Standards Act,Environmental,Uranium Mining,Abacathea,,6868,4126,2013-09-14
264,"Repeal: ""Language Preservation""",Repeal,243,Saveyou Island,The Last Homely House,8154,2756,2013-09-22
265,"Repeal: ""Animal Protection Act """,Repeal,228,The Dourian Embassy,,9762,2259,2013-10-11
266,Chemical Weapons Protocol,International Security,Mild,Chester Pearson,,6857,5431,2013-10-15
267,Sensible Limits On Hunting,Moral Decency,Mild,Bears Armed Mission,Hirota,7463,5398,2013-10-30
268,"Repeal: ""Chemical Weapons Protocol""",Repeal,266,The Dourian Embassy,Chester Pearson,10731,2036,2013-11-04
269,"Repeal: ""Against Corruption""",Repeal,248,The Dourian Embassy,Cormac A Stark,10679,1850,2013-11-08
270,"Repeal: ""Rights Of The Disabled Act""",Repeal,227,Mosktopia,,10464,1936,2013-11-12
271,"Repeal: ""Protection Of Outer Space Act""",Repeal,63,The Dourian Embassy,,10895,1491,2013-11-21
272,Chemical Weapons Accord,International Security,Mild,Chester Pearson,The Dourian Embassy,6689,5712,2013-11-25
273,"Repeal: ""Internet Net Neutrality Act""",Repeal,89,Auralia,,10019,2395,2013-11-29
274,"Repeal: ""Renewable Energy Installations""",Repeal,236,Mosktopia,Mousebumples,10385,1944,2013-12-03
275,"Repeal: ""Cultural Heritage Protection""",Repeal,72,The Dourian Embassy,,8859,3166,2013-12-07
276,"Repeal: ""The Early Learning Act""",Repeal,230,The Black Hat Guy,The Dourian Embassy,9605,2535,2013-12-19
277,"Repeal: ""Dignified End Of Life Choices""",Repeal,54,The Dourian Embassy,Mousebumples,8972,2383,2013-12-23
278,"Repeal: ""Anti-Cyberterrorism Act """,Repeal,100,The Dourian Embassy,,8921,2301,2014-01-12
279,Right Of Emigration,Human Rights,Significant,Abacathea,,9026,2627,2014-01-16
280,"Repeal: ""International Radio Act""",Repeal,75,Milograd,The Dourian Embassy,9609,1417,2014-01-20
281,Industrial Pollution Control,Environmental,All Businesses,Sakash,,7447,4361,2014-01-28
282,"Repeal: ""Protect War Correspondents""",Repeal,170,The Dourian Embassy,Venico,5928,4926,2014-02-01
283,"Repeal: ""Industrial Pollution Control """,Repeal,281,Auralia,,8029,3036,2014-02-17
284,"Repeal: ""Ethics In International Trade""",Repeal,118,Sciongrad,,8576,2364,2014-02-21
285,Assisted Suicide Act,Human Rights,Mild,Christian Democrats,,8052,3385,2014-02-25
286,Reproductive Freedoms,Human Rights,Significant,Eireann Fae,,7786,3649,2014-03-01
287,Cultural Site Preservation,Education and Creativity,Cultural Heritage,Temple Of The Maat,,7075,4135,2014-03-05
288,Right To Adequate Sanitation,Social Justice,Significant,Elke And Elba,Sciongrad,7347,3553,2014-03-14
289,Radiological Terrorism,International Security,Mild,Sciongrad,,7570,3489,2014-04-30
290,Protecting Migratory Animals,Environmental,All Businesses,Mosktopia,,6042,4074,2014-05-04
291,Sustainable Forest Management,Environmental,Logging,Cardoness,,8132,3525,2014-05-16
292,Nuclear Security Convention,International Security,Mild,Chester Pearson,Abacathea,8806,1855,2014-06-13
293,"Repeal: ""International Criminal Court""",Repeal,102,Mousebumples,Ainocra,6071,4095,2014-06-17
294,"Repeal: ""Multilateral Prosecution Act""",Repeal,99,Mousebumples,,7746,2325,2014-06-21
295,"Repeal: ""Oil Tanker Standards Act""",Repeal,98,The Dourian Embassy,Renaissancistic People,7897,1548,2014-06-27
296,Prevention Of Wildfires,International Security,Mild,Bears Armed Mission,,7929,2032,2014-07-07
297,Child Welfare In Adoption,Social Justice,Mild,Sanctaria,,7538,1499,2014-07-11
298,Reducing Spills And Leaks,Environmental,All Businesses,The Dourian Embassy,,7189,2029,2014-07-15
299,Legal Competence,Human Rights,Significant,Bears Armed Mission,,7135,2282,2014-07-19
300,Child Pornography Ban,Moral Decency,Significant,Wrapper,,8486,649,2014-07-23
301,Ban On Leaded Fuel,Environmental,Automotive,Bears Armed Mission,,6255,2822,2014-08-17
302,Individual Working Freedoms,Advancement of Industry,Labor Deregulation,Gruenberger Overseas Affiliate Territory,,6182,3235,2014-09-05
303,Debris Prevention,Environmental,Manufacturing,Defwa,,5288,4595,2014-09-18
304,"Repeal: ""The Landmine Convention""",Repeal,40,The Dark Star Republic,,6869,2613,2014-10-04
305,"Repeal: ""The General Patent Charter""",Repeal,93,Railana,,6934,2081,2014-10-12
306,Rules Of Surrender,Human Rights,Mild,Separatist Peoples,,7757,1416,2014-10-19
307,Anti-Counterfeiting Pact,International Security,Mild,Separatist Peoples,,8995,1116,2014-11-23
308,Nuclear Arms Protocol,Global Disarmament,Mild,Chester Pearson,,7805,2897,2015-01-03
309,Marine Debris Accord,Environmental,All Businesses,Wilorin,,9657,2152,2015-01-14
310,Disabled Voters Act,Furtherment of Democracy,Significant,Christian Democrats,,10278,2391,2015-01-23
311,"Repeal: ""Marine Debris Accord""",Repeal,309,Mundiferrum,,9574,2447,2015-01-27
312,On Universal Jurisdiction,International Security,Significant,Railana,,9393,2376,2015-02-04
313,"Repeal: ""Freedom Of Marriage Act""",Repeal,15,Omigodtheyclonedkenny,,9064,2611,2015-02-08
314,"Repeal: ""Defense Of Self And Others""",Repeal,183,Bananaistan,,9911,2564,2015-02-12
315,Nuclear Power Safeguards Act,Environmental,All Businesses,Pharthan,,6766,5451,2015-02-20
316,"Repeal: ""On Genetically Modified Foods""",Repeal,158,Schutzenphalia And West Ruhntuhnkuhnland,,10742,1767,2015-02-24
317,Wartime Looting And Pillage,Human Rights,Significant,Separatist Peoples,,10687,3295,2015-03-04
318,"Repeal: ""Nuclear Testing Safety""",Repeal,119,Jean Pierre Trudeau,,11754,1684,2015-03-09
319,"Repeal: ""Cooperation In Science Act""",Repeal,92,Ainocra,,11902,1965,2015-03-17
320,Infectious Disease Control,Health,Healthcare,Schutzenphalia And West Ruhntuhnkuhnland,,13434,924,2015-03-21
321,"Repeal: ""International Expositions Act""",Repeal,172,Jean Pierre Trudeau,,12220,1510,2015-03-29
322,On Scientific Cooperation,Education and Creativity,Educational,Ainocra,,12737,1517,2015-04-02
323,No Penalty Without Law,Human Rights,Significant,Sciongrad,,7586,6512,2015-04-06
324,"Repeal: ""Reducing Automobile Emissions""",Repeal,257,The Dark Star Republic,,10623,3829,2015-04-10
325,Responsible Arms Trading,Global Disarmament,Mild,Sciongrad,,10205,5177,2015-05-06
326,"Repeal: ""Responsible Arms Trading""",Repeal,325,Imperium Anglorum,,11921,3885,2015-05-14
327,"Repeal: ""Sexual Privacy Act""",Repeal,16,The Dark Star Republic,,12262,3397,2015-05-24
328,Rights Of Indigenous Peoples,Human Rights,Mild,Vancouvia,,9611,5657,2015-06-07
329,"Repeal: ""Rights Of Indigenous Peoples""",Repeal,328,Imperium Anglorum,,9876,4693,2015-06-07
330,Nuclear Testing Protocol,International Security,Mild,Jean Pierre Trudeau,Pharthan,8042,4512,2015-06-15
331,"Repeal: ""The Gem Trading Accord""",Repeal,113,Losthaven,,10925,1641,2015-06-23
332,"Repeal: ""Nuclear Power Safeguards Act""",Repeal,315,Jean Pierre Trudeau,,10590,2017,2015-06-27
333,Preserving Antimicrobials,Health,Research,Imperium Anglorum,,10424,1865,2015-07-03
334,Protected Status In Wartime,Human Rights,Significant,Separatist Peoples,,10177,2044,2015-07-07
335,Prohibiting Animal Abuse,Moral Decency,Significant,Losthaven,,8882,3618,2015-07-14
336,World Space Administration,Education and Creativity,Educational,Bitely,,6727,6443,2015-07-18
337,"Repeal: ""Prohibiting Animal Abuse""",Repeal,335,Imperium Anglorum,,9465,1961,2015-07-22
338,Protection Of Sapient Rights,Human Rights,Significant,Excidium Planetis,,8489,2438,2015-07-26
339,"Repeal: ""World Space Administration""",Repeal,336,Tinfect,,10051,3432,2015-07-30
340,Access To Humanitarian Aid,Health,International Aid,Separatist Peoples,,10008,1387,2015-08-10
341,"Repeal: ""Living Wage Act""",Repeal,21,Celsuis,,9572,2345,2015-08-28
342,Civilian Aircraft Accord,International Security,Mild,John Turner,Separatist Peoples,8067,3743,2015-09-07
343,"Repeal: ""Debris Prevention""",Repeal,303,Vancouvia,,11086,1953,2015-09-13
344,Minimum Standard Of Living Act,Social Justice,Strong,Railana,,9226,4971,2015-09-17
345,Proscription On Living Shields,Human Rights,Mild,Separatist Peoples,,11048,2679,2015-10-06
346,Researching Unique Ecosystems,Education and Creativity,Educational,Caracasus,,11189,2164,2015-10-10
347,Foreign Patent Recognition,Free Trade,Mild,Railana,,9881,4513,2015-10-14
348,Convention On Ceasefires,Global Disarmament,Mild,Separatist Peoples,,12364,2894,2015-10-28
349,To Prevent Dangerous Debris,Environmental,Manufacturing,The Defwaen Confederation,,11807,2352,2015-11-16
350,"Repeal: ""Nuclear Security Convention""",Repeal,292,Imperium Anglorum,,10269,3764,2015-11-21
351,Nuclear Material Safeguards,International Security,Mild,Imperium Anglorum,,7729,7500,2015-12-01
352,"Repeal: ""Protection Of Sapient Rights""",Repeal,338,The Global Republic,Excidium Planetis,13072,1600,2015-12-08
353,"Repeal: ""Renewable Research Commitment""",Repeal,182,Vancouvia,,10013,3539,2015-12-23
354,AI Coexistence Protocol,Human Rights,Mild,Sierra Lyricalia,,9222,3833,2015-12-31
355,Rights Of Sapient Species,Human Rights,Strong,Excidium Planetis,,12483,2795,2016-01-09
356,Landmine Safety Protocol,International Security,Mild,Separatist Peoples,,12764,1888,2016-01-25
357,Promotion Of Clean Energy,Environmental,All Businesses,Vancouvia,,11743,3897,2016-02-04
358,Explosive Remnants Of War,Health,International Aid,Separatist Peoples,,11028,3826,2016-02-08
359,Sexual Health And Education Act,Education and Creativity,Educational,Zenatias,,13691,5624,2016-03-16
360,Cyber Security Convention,International Security,Significant,John Turner,,14100,4749,2016-03-20
361,"Repeal: ""Nuclear Material Safeguards""",Repeal,351,Wrapper,,15559,2520,2016-03-24
362,"Repeal: ""Sexual Health And Education Act""",Repeal,359,Vancouvia,,11801,4260,2016-03-28
363,Preservation Of Artefacts,Education and Creativity,Cultural Heritage,Abacathea,,15585,2523,2016-04-01
364,"Repeal: ""Cyber Security Convention""",Repeal,360,Tinfect,,17739,2281,2016-04-09
365,Law Enforcement Education,International Security,Significant,Happy People Land,,13200,7404,2016-04-13
366,"Repeal: ""Stopping Suicide Seeds""",Repeal,249,Imperium Anglorum,,16428,3589,2016-04-21
367,"Repeal: ""Preservation Of Artefacts""",Repeal,363,Imperium Anglorum,,13328,6337,2016-04-29
368,"Repeal: ""Law Enforcement Education""",Repeal,365,Excidium Planetis,,12955,6190,2016-05-03
369,Reproductive Education Act,Education and Creativity,Educational,Wallenburg,,14365,4689,2016-05-07
370,"Repeal: ""Stopping Invasive Species""",Repeal,259,Abacathea,,14844,2954,2016-05-11
371,Toxic Heavy Metals Act,Environmental,All Businesses,Kaboomlandia,Wrapper,13805,4639,2016-05-20
372,Preventing Animal Abuse,Moral Decency,Significant,Losthaven,,14994,3777,2016-05-24
373,"Repeal: ""Convention On Execution""",Repeal,112,Christian Democrats,,9937,8435,2016-05-28
374,The Rule Of Law,Human Rights,Strong,Sciongrad,,13347,2557,2016-06-01
375,Crime And Punishment,Human Rights,Significant,Schuttegod,,12853,3932,2016-06-05
376,Pesticide Regulations,Environmental,Agriculture,New Dukaine,Araraukar,12239,2169,2016-06-17
377,"Repeal: ""Preventing Animal Abuse""",Repeal,372,Imperium Anglorum,,11285,2720,2016-06-28
378,Digital Network Defense,International Security,Mild,Excidium Planetis,,10125,3165,2016-07-04
379,"Repeal: ""Nuclear Arms Protocol""",Repeal,308,Plessur,,8605,3977,2016-07-10
380,Humanitarian Aid Expansion Act,Health,International Aid,Ichu,,10684,6221,2016-07-19
381,"Repeal: ""Humanitarian Aid Expansion Act""",Repeal,380,Imperium Anglorum,,10879,3533,2016-07-28
382,Environmental Warfare Act,Global Disarmament,Mild,West Angola,,10201,5906,2016-08-10
383,Right To Sexual Privacy,Human Rights,Significant,Bananaistan,,12233,2027,2016-08-20
384,"Repeal: ""Foreign Patent Recognition""",Repeal,347,Wallenburg,Caracasus,9830,5654,2016-08-24
385,Quarantine Regulation,Health,Healthcare,Umeria,,12728,1642,2016-09-02
386,Reducing Statelessness,Human Rights,Mild,Imperium Anglorum,,14100,3517,2016-10-24
387,"Repeal: ""Quarantine Regulation""",Repeal,385,Umeria,,15674,2653,2016-11-07
388,Foreign Patent Act,Free Trade,Mild,Wallenburg,,10008,9026,2016-11-27
389,Rights Of The Quarantined,Health,Healthcare,Umeria,,14782,4632,2016-12-02
390,Compliance Commission,International Security,Mild,Imperium Anglorum,,13286,5812,2016-12-11
391,Securing Nuclear Materials From Dastardly Menaces,International Security,Mild,Imperium Anglorum,,10874,8848,2016-12-15
392,"Repeal: ""Securing Nuclear Materials From Dastardly Menaces""",Repeal,391,Wallenburg,,13394,4244,2016-12-23
393,"Repeal: ""Foreign Patent Act""",Repeal,388,Auralia,,15011,2798,2017-02-27
394,International Patent Agreement,Free Trade,Mild,Auralia,,13985,4134,2017-03-11
395,Open Internet Order,Social Justice,Mild,The Free And Sovereign State Of Thailand,,14893,3487,2017-03-15
396,"Repeal: ""Open Internet Order""",Repeal,395,Imperium Anglorum,,14459,3232,2017-03-21
397,World Assembly Central Library Compact,Education and Creativity,Cultural Heritage,"The United Royal Islands Of Euramathania ",,16203,1754,2017-03-26
398,Internet Neutrality Act,Social Justice,Mild,Draconae,,13631,5017,2017-04-06
399,Responsibility In Transferring Arms,Global Disarmament,Mild,Sciongrad,,12006,5040,2017-04-15
400,World Assembly Central Medicinal Database Compact,Health,Research,Xerox Prime,,14370,3837,2017-05-09
401,Stock Exchanges and Foreign Investment,Free Trade,Mild,United Federated States Of Omega,,11041,7627,2017-05-13
402,"Repeal: ""World Assembly Central Medicinal Database Compact""",Repeal,400,Helaw,,10788,7169,2017-05-17
403,Trade Of Endangered Organisms,Environmental,All Businesses,Ransium,Bears Armed,11311,3130,2017-06-28
404,Enabling The Disabled In Academia,Education and Creativity,Educational,The United Federation Of Algorenia,,9219,5744,2017-07-25
405,"Repeal: ""Enabling The Disabled In Academia""",Repeal,404,Imperium Anglorum,,10400,3714,2017-08-06
406,"Repeal: ""Internet Neutrality Act""",Repeal,398,Auralia,,9305,5290,2017-08-21
407,Convention On Internet Neutrality,Free Trade,Mild,Auralia,,13899,1331,2017-09-15
408,Ban On Secret Treaties,Furtherment of Democracy,Mild,Imperium Anglorum,,9189,5768,2017-10-02
409,Ocean Noise Reduction,Environmental,All Businesses,Imperium Anglorum,,11514,3587,2017-10-08
410,Marriage Equality,Human Rights,Significant,The Provisional State Of Nevada,New Gren Artle,10476,6179,2017-10-12
411,"Repeal: ""Marriage Equality""",Repeal,410,Imperium Anglorum,,12704,3219,2017-10-20
412,Public Health and Vaccinations Act,Health,Healthcare,Imperium Anglorum,,15388,1738,2017-10-30
413,Wetland Protection Protocol,Environmental,All Businesses,Separatist Peoples,,14511,2751,2017-11-08
414,Freedom To Seek Medical Care,Human Rights,Mild,New Waldensia,,9643,7425,2017-11-13
415,"Repeal: ""Freedom to Seek Medical Care""",Repeal,414,Separatist Peoples,,14161,3093,2017-11-18
416,Ban on Ritual Sacrifice,Human Rights,Mild,Imperial Polk County,,11976,5035,2017-11-25
417,Restrictions On Hydraulic Fracturing,Environmental,All Businesses,United Massachusetts,,12080,5327,2017-11-29
418,Safeguarding Nuclear Materials,International Security,Mild,Imperium Anglorum,,14404,3501,2017-12-12
